,term,cumulative_delta,p_cumdelta,lag_1,p_lagone,lag_2,p_lagtwo,cumulative,p_delta
78,others_Re.Exports_cumulative,0.035115466,0.091431948,-0.035280087,2.73E-12,-0.025149252,6.31E-07,-0.014963708,3.83E-05
79,others_general.ntm.provisions_cumulative,-0.002023423,0.178046477,0.00711261,0.000157211,0.00642396,0.001410836,0.003384976,0.004149112
80,others_price.band.system_cumulative,-0.018321418,0.684726957,-0.00485221,0.383587316,-0.00376513,0.517874619,-0.011909733,0.00077035
81,others_transparency_cumulative,-0.001616049,0.273329095,0.00235462,0.292032847,0.022659197,8.70E-05,1.78017E-05,0.990181648
82,others_Export.Quotas_delta,-0.000356075,0.976311253,,,,,,
83,others_Re.Exports_delta,-0.246148708,0.131841646,,,,,,
84,others_general.ntm.provisions_delta,0.007645324,0.55165664,,,,,,
85,others_transparency_delta,0.009147805,0.641029058,,,,,,
86,public.procurement_Cooperation_cumulative,0.009013357,0.012899328,0.02066544,0.00045309,0.018262421,0.003405268,0.021342482,7.39E-07
87,public.procurement_Dispute.Settlement_cumulative,-0.085303867,6.24E-05,-0.006397724,0.673824601,-0.004142197,0.808445596,0.003579215,0.636844973
88,public.procurement_Domestic.Review.Of.Supplier.Challenges_cumulative,0.011044462,0.028962326,-0.001896329,0.837432354,-0.01100011,0.282604403,0.005915072,0.332269698
89,public.procurement_Industry.Development_cumulative,0.013798116,0.552022782,-0.047370302,0.012567913,-0.037726518,0.046357301,-0.065798063,2.36E-06
90,public.procurement_Information.Technology_cumulative,0.000627196,0.910674552,0.000205426,0.972640409,0.001423106,0.805997851,-0.000715704,0.797634492
91,public.procurement_Market.Access_cumulative,-0.047555084,1.21E-09,-0.014702191,0.112453005,-0.009231013,0.317643992,-0.021752285,0.002184608
92,public.procurement_National.Treatment.And.Non.Discrimination_cumulative,0.02333133,0.000193734,0.018306361,0.094041147,0.025074862,0.024802204,-0.008368665,0.279623027
93,public.procurement_Objectives_cumulative,0.003304563,0.163620087,0.006239389,1.17E-05,0.00735178,6.45E-07,0.002959079,0.014824448
94,public.procurement_Tendering.Procedures_cumulative,-0.003970981,1.23E-05,-0.004043246,0.020985351,-0.002885978,0.16393352,-0.003694351,0.000522837
95,public.procurement_Time.Limits_cumulative,0.007391038,0.380833136,-0.001833742,0.81198692,0.000475429,0.954178466,-0.003021088,0.565220202
96,public.procurement_Transitional.Measures_cumulative,0.029697899,0.000222673,0.000410763,0.968332084,-0.006440609,0.593955695,0.007598315,0.276340981
97,public.procurement_Transparency_cumulative,0.047416825,0.130675225,0.035303259,0.314169388,0.012213166,0.706685929,0.051374366,0.057440892
98,public.procurement_Valuation.Of.Contracts_cumulative,0.016207933,0.44326446,-0.050352417,0.083592094,-0.046326079,0.078596656,-0.052775786,0.004303247
99,public.procurement_Cooperation_delta,0.004953506,0.699478901,,,,,,
100,public.procurement_Dispute.Settlement_delta,-0.529267878,0.001901077,,,,,,
101,public.procurement_Domestic.Review.Of.Supplier.Challenges_delta,-2.296704177,0.003121321,,,,,,
102,public.procurement_Information.Technology_delta,0.365942488,0.007580388,,,,,,
103,public.procurement_Market.Access_delta,1.143621505,0.007680207,,,,,,
104,public.procurement_National.Treatment.And.Non.Discrimination_delta,-3.038103197,0.003961367,,,,,,
105,public.procurement_Objectives_delta,0.007928653,0.906392732,,,,,,
106,public.procurement_Tendering.Procedures_delta,0.66051769,0.004815017,,,,,,
107,public.procurement_Transparency_delta,0.047092982,0.946447451,,,,,,
108,public.procurement_Valuation.Of.Contracts_delta,2.795135578,0.005636662,,,,,,
109,rules.of.origin_Advance.Rulings_cumulative,-0.050735501,0.209015771,-0.105171131,0.335829564,0.064765255,0.50142073,-0.189354428,0.000288249
110,rules.of.origin_Authorized.Bodies_cumulative,0.4402546,1.34E-06,0.236452897,0.002787112,0.174031128,0.093660711,0.295533183,5.39E-09
111,rules.of.origin_Certificate.Of.Origin_cumulative,0.011836247,0.335691293,-0.013457236,0.742417852,-0.027717145,0.506674318,0.000644802,0.97995453
112,rules.of.origin_Change.In.Tariff.Classification_cumulative,-1.456752217,4.60E-05,0.11977285,0.780441387,-0.039375739,0.918930835,-0.181152011,0.44754433
113,rules.of.origin_Claim.For.Preferential.Tariff.Treatment_cumulative,-0.009577784,0.654407947,0.190687903,0.000160258,0.160087739,0.027034188,0.179051236,8.06E-10
114,rules.of.origin_Claims.for.Preferential.Treatment_cumulative,0.00163543,0.928872132,-0.010047347,0.783680539,-0.022282891,0.559375859,-0.011913877,0.617357893
115,rules.of.origin_Common.Guidelines_cumulative,0.368530182,2.07E-05,0.419765277,0.096382329,0.323475656,0.197815295,0.615421656,1.08E-05
116,rules.of.origin_Conditions.For.Invoice.Declaration_cumulative,-0.573211703,1.84E-21,0.179999613,0.156506395,0.231430488,0.166430632,0.184730663,0.007048121
117,rules.of.origin_Confidentiality_cumulative,-0.149321222,0.002380638,0.465200088,0.005041445,0.386145276,0.054003576,0.384961959,0.000765074
118,rules.of.origin_Consultation.And.Modifications_cumulative,-0.045775411,0.102952105,-0.043157856,0.050440506,0.011108609,0.729297281,-0.053677247,0.005992321
119,rules.of.origin_Cooperation_cumulative,0.4273357,2.37E-08,-0.26602441,0.442467012,-0.675933064,0.08020818,-0.088326531,0.639760513
120,rules.of.origin_Cumulation_cumulative,0.094845198,0.000196868,0.244058368,3.66E-05,0.204813939,0.007123036,0.247913844,1.61E-13
121,rules.of.origin_Customs.Focal.Point_cumulative,-0.072862061,0.154696429,0.197809465,0.141718189,0.252635187,0.094301107,0.334291802,0.010980992
122,rules.of.origin_De.Minimis_cumulative,-0.068212868,0.088485325,-0.191283394,0.077431792,-0.195512058,0.077200886,-0.164858174,0.001469194
123,rules.of.origin_Definitions_cumulative,-0.212424189,0.364569222,-0.036203316,0.080893195,-0.030854741,0.190070428,-0.032598998,0.020880793
124,rules.of.origin_Direct.Consignment_cumulative,-0.035967148,0.653672887,0.155211842,0.456116039,0.262609081,0.20213454,0.325109936,0.004177357
125,rules.of.origin_Direct.Transport_cumulative,-0.120209134,0.048395082,0.093274614,0.604147804,0.176365867,0.296416335,0.259157164,0.011685663
126,rules.of.origin_Discrepancies.And.Formal.Errors_cumulative,0.133474831,0.02713477,-0.465233838,0.011867115,-0.355940026,0.097974263,-0.425512591,0.001729331
127,rules.of.origin_Electronic.Origin.Data.Exchange.System_cumulative,-0.761919329,0.04725498,-1.090539377,0.046877181,-0.490809079,0.266960624,-1.005016632,3.39E-05
